2020-05-15 14:36:10,675INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:36:10,676INFO    :查询成功，结果为:('v2020.0515.0013',)
2020-05-15 14:36:10,690INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0014', 'WEB', 'GBSS')
2020-05-15 14:36:10,743INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0014', ['test_登录'], ['test_case'], ['1'], 1589524570)
2020-05-15 14:36:10,758INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.2846391201019287'], ['test_case'], 'v2020.0515.0014')
2020-05-15 14:36:10,772INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0014')
2020-05-15 14:36:52,760INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:36:52,761INFO    :查询成功，结果为:('v2020.0515.0014',)
2020-05-15 14:36:52,775INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0015', 'WEB', 'GBSS')
2020-05-15 14:36:52,827INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0015', ['test_登录'], ['test_case'], ['1'], 1589524612)
2020-05-15 14:36:52,852INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.5011205673217773'], ['test_case'], 'v2020.0515.0015')
2020-05-15 14:36:52,877INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0015')
2020-05-15 14:42:52,799INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:42:52,799INFO    :查询成功，结果为:('v2020.0515.0015',)
2020-05-15 14:42:52,811INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0016', 'WEB', 'GBSS')
2020-05-15 14:42:52,845INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0016', ['test_登录'], ['test_case'], ['1'], 1589524972)
2020-05-15 14:42:52,856INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['0.7535557746887207'], ['test_case'], 'v2020.0515.0016')
2020-05-15 14:42:52,867INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0016')
2020-05-15 14:43:29,483INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:43:29,484INFO    :查询成功，结果为:('v2020.0515.0016',)
2020-05-15 14:43:29,497INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0017', 'WEB', 'GBSS')
2020-05-15 14:43:29,546INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0017', ['test_登录'], ['test_case'], ['1'], 1589525009)
2020-05-15 14:43:29,567INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.7079312801361084'], ['test_case'], 'v2020.0515.0017')
2020-05-15 14:43:29,584INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(["'Null'"], ['test_case'], 'v2020.0515.0017')
2020-05-15 14:47:26,751INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:47:26,751INFO    :查询成功，结果为:('v2020.0515.0017',)
2020-05-15 14:47:26,762INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0018', 'WEB', 'GBSS')
2020-05-15 14:48:43,228INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:48:43,284INFO    :查询成功，结果为:('v2020.0515.0018',)
2020-05-15 14:48:43,299INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0019', 'WEB', 'GBSS')
2020-05-15 14:48:43,362INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0019', ['test_登录'], ['test_case'], ['0'], 1589525323)
2020-05-15 14:48:43,378INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['2.7474358081817627'], ['test_case'], 'v2020.0515.0019')
2020-05-15 14:48:43,395INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0019')
2020-05-15 14:51:28,816INFO    :操作成功，执行语句为SELECT version FROM sysconfig WHERE type = %s AND project= %s 参数值为:('WEB', 'GBSS')
2020-05-15 14:51:28,823INFO    :查询成功，结果为:('v2020.0515.0019',)
2020-05-15 14:51:28,838INFO    :操作成功，执行语句为UPDATE sysconfig SET version = %s WHERE type = %s AND project= %s ('v2020.0515.0020', 'WEB', 'GBSS')
2020-05-15 14:51:29,025INFO    :操作成功，执行语句为INSERT INTO pytest_ui_result(version,testTitle,testTitlename,result,runtime,exceptionmessage,detailed_id)VALUE(%s,%s,%s,%s,null,null,%s)('v2020.0515.0020', ['test_登录'], ['test_case'], ['0'], 1589525488)
2020-05-15 14:51:29,040INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET runtime = %s WHERE testTitlename = %s AND VERSION = %s(['24.272171020507812'], ['test_case'], 'v2020.0515.0020')
2020-05-15 14:51:29,065INFO    :操作成功，执行语句为UPDATE pytest_ui_result SET exceptionmessage = %s WHERE testTitlename = %s AND VERSION = %s(['"AssertionError: assert \'哈哈\' == \'资讯\'"'], ['test_case'], 'v2020.0515.0020')
